iteration,system,target_emotion,control_params,judged_V,judged_A,judged_D,judge_family,judge_confidence,distance_to_target,accepted
135,indextts2-abcA-det,joy,"emo_vector=[0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];spk=ravdess_neutral_A01;p47_r1",-0.156,0.558,0.313,fear,1.0,0.473,0
136,indextts2-abcA-det,joy,"emo_vector=[0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4];spk=ravdess_neutral_A01;p47_r1",-0.172,0.483,0.252,neutral,1.0,0.486,0
137,indextts2-abcA-det,anger,"emo_vector=[0.0, 0.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];spk=ravdess_neutral_A01;p47_r1",-0.404,0.804,0.63,anger,0.8,0.244,1
138,indextts2-abcA-det,anger,"emo_vector=[0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2];spk=ravdess_neutral_A01;p47_r1",-0.377,0.833,0.661,anger,1.0,0.287,1
139,indextts2-abcA-det,surprise,"emo_vector=[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 0.0];spk=ravdess_neutral_A01;p47_r1",-0.267,0.781,0.581,fear,0.41,0.473,0
140,indextts2-abcA-det,surprise,"emo_vector=[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2, 0.0];spk=ravdess_neutral_A01;p47_r1",-0.272,0.786,0.587,surprise,0.8,0.482,1
141,indextts2-abcB-r1,sadness,"emo_vector=[0.0, 0.0, 0.8, 0.0, 0.0, 0.7, 0.0, 0.0];spk=ravdess_neutral_A01;p47_r1",-0.129,0.251,-0.12,neutral,1.0,0.212,0
142,indextts2-abcB-r1,sadness,"emo_vector=[0.0, 0.0, 0.6, 0.0, 0.0, 0.9, 0.0, 0.0];spk=ravdess_neutral_A01;p47_r1",-0.124,0.251,-0.091,neutral,1.0,0.21,0
143,indextts2-abcB-r1,joy,"emo_vector=[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.1];spk=ravdess_neutral_A01;p47_r1",-0.479,0.861,0.719,surprise,0.6,0.983,0
144,indextts2-abcB-r1,joy,"emo_vector=[1.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.1];spk=ravdess_neutral_A01;p47_r1",-0.375,0.881,0.745,surprise,0.59,0.924,0
145,indextts2-abcB-r1,anger,"emo_vector=[0.0, 1.4, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0];spk=ravdess_neutral_A01;p47_r1",-0.495,0.878,0.753,anger,1.0,0.393,1
146,indextts2-abcB-r1,anger,"emo_vector=[0.0, 1.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.3];spk=ravdess_neutral_A01;p47_r1",-0.558,0.858,0.736,anger,1.0,0.388,1
147,indextts2-abcB-r1,surprise,"emo_vector=[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4, 0.0];spk=ravdess_neutral_A01;p47_r1",-0.426,0.854,0.714,surprise,0.8,0.692,1
148,indextts2-abcB-r1,surprise,"emo_vector=[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4, 0.0];spk=ravdess_neutral_A01;p47_r1",-0.408,0.834,0.669,surprise,0.8,0.644,1
149,indextts2-abcC-scaffold,sadness,"emo_vector=[0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0];spk=ravdess_neutral_A01;p47_r1",-0.111,0.39,0.079,neutral,1.0,0.225,0
150,indextts2-abcC-scaffold,sadness,"emo_vector=[0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 0.6, 0.0];spk=ravdess_neutral_A01;p47_r1",-0.279,0.743,0.457,fear,0.64,0.634,0
151,indextts2-abcC-scaffold,joy,"emo_vector=[0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];spk=ravdess_neutral_A01;p47_r1",-0.166,0.576,0.345,fear,1.0,0.491,0
